"Level","Region/Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"World","World","Firearms Rate",,,,,,,,,,,,,,,,2.5,2.5,2.4,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2.5,2.5,2.6
"World","World","Other Mechanism Rate",,,,,,,,,,,,,,,,1.2,1.2,1.1,1.1,1.1,1.1,1.1,0.9,1.1,1,1,1,1
"World","World","Sharp Objects Rate",,,,,,,,,,,,,,,,2.2,2.1,2.1,2.1,2.2,2.2,2.1,2.3,2.1,2.2,2.2,2.2,2.2
"World","World","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"Region","Africa","Estimated Homicide Count",,,,,,,,,,,,,,117327,117841,119719,123467,125131,128164,130156,132477,136814,140824,144374,149329,152993,,
"Region","Africa","Homicide Rate",,,,,,,,,,,,,,13.3,13.1,12.9,13,12.9,12.9,12.7,12.6,12.7,12.7,12.7,12.8,12.8,,
"Region","Africa","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Americas","Estimated Homicide Count",116155,122287,121212,126016,126981,124624,124257,123055,122449,120483,126356,134197,135642,136271,129479,128607,132636,131436,140058,145191,148167,156634,160122,155830,157178,159480,165251,173471
"Region","Americas","Homicide Rate",16,16.6,16.2,16.6,16.5,15.9,15.7,15.3,15,14.6,15.1,15.8,15.8,15.7,14.7,14.5,14.7,14.4,15.2,15.6,15.8,16.5,16.7,16.1,16.1,16.1,16.6,17.2
"Region","Americas","Estimated Homicide Count: Male",102278,107632,106922,111082,112431,109850,109725,109004,108410,107092,112695,119327,120905,121788,115581,114739,118612,117629,125779,129935,132596,140040,143215,139375,140616,142911,147739,155179
"Region","Americas","Estimated Homicide Count: Female",13877,14654,14290,14934,14550,14774,14533,14051,14039,13391,13661,14870,14736,14483,13898,13868,14024,13807,14279,15256,15571,16594,16907,16455,16562,16569,17513,18292
"Region","Americas","Male Homicide Rate",28.5,29.5,28.9,29.6,29.5,28.4,28,27.4,26.9,26.2,27.2,28.4,28.4,28.3,26.6,26.1,26.7,26.1,27.6,28.2,28.5,29.8,30.2,29.1,29,29.2,29.9,31.2
"Region","Americas","Female Homicide Rate",3.8,3.9,3.8,3.9,3.7,3.7,3.6,3.5,3.4,3.2,3.2,3.5,3.4,3.3,3.1,3.1,3.1,3,3.1,3.2,3.3,3.5,3.5,3.4,3.3,3.3,3.5,3.6
"Region","Americas","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,2015,2086,1886,1953,2025,2036,2221,2275,2192,2155,2141,1628,1973
"Region","Americas","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,60030,61854,60693,64648,66555,67446,70804,73249,71026,72351,72744,76173,78843
"Region","Americas","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,34300,35483,35779,38788,40569,42114,44499,44825,43075,43112,44148,44567,48217
"Region","Americas","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,12998,13531,13454,14697,15118,15358,16311,16545,16653,16527,17345,19299,19509
"Region","Americas","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,5397,5658,5817,5692,5667,5642,6205,6321,6430,6471,6532,6071,6636
"Region","Americas","Male 0-14 Rate",,,,,,,,,,,,,,,,1.7,1.7,1.6,1.6,1.7,1.7,1.9,1.9,1.9,1.8,1.8,1.4,1.7
"Region","Americas","Male 15-29 Rate",,,,,,,,,,,,,,,,53.4,54.5,53,55.9,57.1,57.5,59.9,61.6,59.4,60.3,60.4,62.7,64.3
"Region","Americas","Male 30-44 Rate",,,,,,,,,,,,,,,,36.9,37.9,38,40.8,42.3,43.5,45.5,45.3,43,42.5,42.9,42.9,46
"Region","Americas","Male 45-59 Rate",,,,,,,,,,,,,,,,19,19.3,18.7,19.9,20,19.8,20.7,20.7,20.5,20.1,20.8,22.9,23
"Region","Americas","Male 60 or more Rate",,,,,,,,,,,,,,,,11.7,11.9,11.8,11.2,10.7,10.3,11,10.8,10.6,10.3,10,9.2,10
"Region","Americas","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,1156,1147,1137,1143,1194,1149,1137,1191,1116,1216,1115,1022,1119
"Region","Americas","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,5456,5485,5384,5525,5955,6178,6664,6632,6544,6603,6511,6942,7202
"Region","Americas","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,4112,4064,4063,4170,4453,4591,4825,5048,4823,4843,4953,5418,5613
"Region","Americas","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,1887,2074,1981,2141,2264,2280,2491,2529,2452,2408,2430,2605,2744
"Region","Americas","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,1257,1253,1241,1300,1390,1373,1478,1507,1521,1492,1561,1526,1613
"Region","Americas","Female 0-14 Rate",,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1.1,1,1.1,1,0.9,1
"Region","Americas","Female 15-29 Rate",,,,,,,,,,,,,,,,5,4.9,4.8,4.9,5.2,5.4,5.8,5.7,5.6,5.7,5.6,5.9,6
"Region","Americas","Female 30-44 Rate",,,,,,,,,,,,,,,,4.4,4.3,4.2,4.3,4.6,4.7,4.8,5,4.7,4.7,4.8,5.2,5.3
"Region","Americas","Female 45-59 Rate",,,,,,,,,,,,,,,,2.6,2.8,2.6,2.8,2.8,2.8,3,3,2.9,2.8,2.8,3,3.1
"Region","Americas","Female 60 or more Rate",,,,,,,,,,,,,,,,2.2,2.1,2,2.1,2.1,2,2.1,2.1,2.1,1.9,2,1.9,2
"Region","Americas","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,91343,93708,93850,100228,104025,107051,111575,113863,110798,111882,113282,117329,123798
"Region","Americas","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,11601,11781,10350,11321,12350,12549,13824,13995,13550,13215,13702,14135,14904
"Region","Americas","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,19216,18992,19542,20826,21087,20743,22940,23195,22856,23222,23300,24273,24766
"Region","Americas","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,6447,8156,7694,7683,7729,7825,8295,9069,8626,8859,9195,9514,10003
"Region","Americas","Firearms Rate",,,,,,,,,,,,,,,,10.3,10.4,10.3,10.9,11.2,11.4,11.7,11.9,11.4,11.4,11.5,11.8,12.3
"Region","Americas","Other Mechanism Rate",,,,,,,,,,,,,,,,1.3,1.3,1.1,1.2,1.3,1.3,1.5,1.5,1.4,1.3,1.4,1.4,1.5
"Region","Americas","Sharp Objects Rate",,,,,,,,,,,,,,,,2.2,2.1,2.1,2.3,2.3,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.5
"Region","Americas","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.7,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1
"Region","Asia","Estimated Homicide Count",116426,121134,124793,123937,120961,120968,119851,120811,124787,121839,122576,121029,120581,118687,120106,115877,113658,111900,113673,114452,112760,113072,113640,112285,112849,105605,102502,104456
"Region","Asia","Homicide Rate",3.6,3.7,3.7,3.7,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.1,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.4,2.3,2.3
"Region","Asia","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,81212,78217,79553,77329,77774,77451,78107,77373,77880,73136,69215,
"Region","Asia","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,32446,33682,34120,37123,34986,35621,35533,34912,34968,32469,33287,
"Region","Asia","Male Homicide Rate",,,,,,,,,,,,,,,,,4,3.8,3.8,3.6,3.6,3.6,3.6,3.5,3.5,3.2,3,
"Region","Asia","Female Homicide Rate",,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.6,1.5,1.5,
"Region","Asia","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Asia","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,,,,,,,50025,50189,49216,51028,,,
"Region","Asia","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,16336,15936,16074,13013,,,
"Region","Asia","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,,,,,,,37585,38761,37718,39749,,,
"Region","Asia","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,9126,8753,9277,9059,,,
"Region","Asia","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.1,1.2,,,
"Region","Asia","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.3,,,
"Region","Asia","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9,0.9,,,
"Region","Asia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,,,
"Region","Europe","Estimated Homicide Count",34713,37481,49658,61053,64249,61905,55599,51581,48900,53277,56267,58386,59050,55634,52201,47545,40112,36319,34000,30933,30593,28183,25265,24800,25386,25637,24760,22009
"Region","Europe","Homicide Rate",4.8,5.2,6.8,8.4,8.8,8.5,7.6,7.1,6.7,7.3,7.7,8,8.1,7.6,7.1,6.5,5.5,4.9,4.6,4.2,4.1,3.8,3.4,3.3,3.4,3.5,3.3,3
"Region","Europe","Estimated Homicide Count: Male",25500,27698,37206,45544,47956,46114,40816,37908,35809,38735,41059,42735,43435,40719,38177,34778,29065,26477,24901,22354,22083,20342,17986,17684,18126,18210,17434,15456
"Region","Europe","Estimated Homicide Count: Female",9213,9783,12451,15509,16293,15791,14783,13673,13091,14542,15207,15651,15615,14915,14024,12767,11047,9842,9099,8579,8510,7841,7279,7115,7260,7426,7326,6553
"Region","Europe","Male Homicide Rate",7.3,7.9,10.6,13,13.6,13.1,11.6,10.8,10.2,11,11.7,12.2,12.3,11.6,10.8,9.9,8.2,7.5,7,6.3,6.2,5.7,5,4.9,5.1,5.1,4.9,4.3
"Region","Europe","Female Homicide Rate",2.5,2.6,3.3,4.1,4.3,4.2,3.9,3.6,3.5,3.9,4,4.1,4.1,3.9,3.7,3.4,2.9,2.6,2.4,2.2,2.2,2,1.9,1.9,1.9,1.9,1.9,1.7
"Region","Europe","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,1638,1421,1244,1177,1130,1203,1038,1028,896,1058,983,918,849
"Region","Europe","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,7458,6332,5915,5330,4884,4344,4402,3488,3923,3634,3721,3681,3262
"Region","Europe","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,10812,8838,7953,7607,6794,6845,5951,5318,5090,5338,5215,5042,4322
"Region","Europe","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,9466,7855,7058,6718,5798,5985,5504,5125,4546,4725,4798,4561,4099
"Region","Europe","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,5405,4619,4307,4068,3748,3705,3447,3027,3229,3371,3494,3232,2924
"Region","Europe","Male 0-14 Rate",,,,,,,,,,,,,,,,2.7,2.4,2.1,2,1.9,2.1,1.8,1.7,1.5,1.8,1.6,1.5,1.4
"Region","Europe","Male 15-29 Rate",,,,,,,,,,,,,,,,9.6,8.2,7.7,7,6.5,5.8,6,4.8,5.5,5.2,5.5,5.4,4.8
"Region","Europe","Male 30-44 Rate",,,,,,,,,,,,,,,,13.3,10.9,9.9,9.5,8.6,8.6,7.5,6.8,6.5,6.8,6.6,6.4,5.5
"Region","Europe","Male 45-59 Rate",,,,,,,,,,,,,,,,13.1,10.7,9.5,8.9,7.7,7.8,7.2,6.7,5.9,6.1,6.2,5.9,5.3
"Region","Europe","Male 60 or more Rate",,,,,,,,,,,,,,,,8.8,7.4,6.7,6.2,5.6,5.5,5,4.3,4.5,4.6,4.7,4.3,3.9
"Region","Europe","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,965,841,791,694,623,691,593,692,559,541,556,565,475
"Region","Europe","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,2262,2009,1775,1680,1516,1418,1465,1117,1273,1168,1183,1222,1030
"Region","Europe","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,3175,2856,2402,2121,2068,2241,1848,1843,1513,1719,1790,1742,1537
"Region","Europe","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,2943,2471,2216,2143,1977,1735,1796,1542,1634,1653,1683,1717,1534
"Region","Europe","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,3421,2871,2658,2461,2395,2426,2138,2084,2137,2178,2214,2080,1978
"Region","Europe","Female 0-14 Rate",,,,,,,,,,,,,,,,1.7,1.5,1.4,1.2,1.1,1.2,1.1,1.2,1,1,1,1,0.8
"Region","Europe","Female 15-29 Rate",,,,,,,,,,,,,,,,3,2.7,2.4,2.3,2.1,2,2.1,1.6,1.9,1.8,1.8,1.9,1.6
"Region","Europe","Female 30-44 Rate",,,,,,,,,,,,,,,,3.9,3.5,3,2.7,2.6,2.8,2.4,2.4,1.9,2.2,2.3,2.2,2
"Region","Europe","Female 45-59 Rate",,,,,,,,,,,,,,,,3.8,3.2,2.8,2.7,2.4,2.1,2.2,1.9,2,2,2.1,2.1,1.9
"Region","Europe","Female 60 or more Rate",,,,,,,,,,,,,,,,3.8,3.2,2.9,2.7,2.6,2.6,2.2,2.1,2.2,2.2,2.2,2,1.9
"Region","Europe","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,9925,8008,7437,6867,6221,6156,5965,5203,5010,5000,4982,4504,4122
"Region","Europe","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,17676,14920,13782,12679,11219,11056,10431,9398,8983,9551,9797,9483,8470
"Region","Europe","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,14575,12694,11298,10738,10034,10155,9309,7955,8277,8484,8199,8398,7338
"Region","Europe","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,5369,4490,3803,3716,3459,3227,2478,2709,2529,2351,2658,2375,2080
"Region","Europe","Firearms Rate",,,,,,,,,,,,,,,,1.4,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6
"Region","Europe","Other Mechanism Rate",,,,,,,,,,,,,,,,2.4,2,1.9,1.7,1.5,1.5,1.4,1.3,1.2,1.3,1.3,1.3,1.1
"Region","Europe","Sharp Objects Rate",,,,,,,,,,,,,,,,2,1.7,1.5,1.5,1.4,1.4,1.3,1.1,1.1,1.1,1.1,1.1,1
"Region","Europe","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.3
"Region","Oceania","Estimated Homicide Count",915,868,859,867,901,920,930,964,973,970,971,938,1002,1067,980,1039,1055,927,1017,1137,1090,1104,1108,1127,1144,1156,1164,1157
"Region","Oceania","Homicide Rate",3.4,3.2,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.1,3,3.1,3.3,3,3.1,3.1,2.7,2.9,3.2,3,3,2.9,2.9,2.9,2.9,2.9,2.8
"Region","Oceania","Estimated Homicide Count: Male",576,512,529,558,572,564,628,630,643,662,601,613,651,722,643,654,702,583,613,790,645,711,711,722,709,744,755,793
"Region","Oceania","Estimated Homicide Count: Female",339,355,329,309,328,357,302,334,330,308,370,326,351,345,337,385,354,344,404,346,445,393,396,405,435,412,409,364
"Region","Oceania","Male Homicide Rate",4.2,3.7,3.8,3.9,4,3.9,4.2,4.2,4.2,4.3,3.8,3.9,4,4.4,3.9,3.9,4.1,3.3,3.5,4.4,3.5,3.8,3.7,3.7,3.6,3.8,3.8,3.9
"Region","Oceania","Female Homicide Rate",2.5,2.6,2.4,2.2,2.3,2.4,2,2.2,2.2,2,2.4,2.1,2.2,2.1,2,2.3,2.1,2,2.3,1.9,2.4,2.1,2.1,2.1,2.2,2.1,2,1.8
"Region","Oceania","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,61,70,50,51,70,37,35,44,39,56,49,47,51
"Region","Oceania","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,188,201,167,183,220,132,98,127,102,183,208,186,195
"Region","Oceania","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,216,225,194,170,241,234,291,306,306,228,216,250,261
"Region","Oceania","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,135,154,114,144,145,189,243,167,196,150,183,181,191
"Region","Oceania","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,55,51,59,64,114,54,43,67,78,91,89,92,95
"Region","Oceania","Male 0-14 Rate",,,,,,,,,,,,,,,,1.4,1.6,1.1,1.2,1.5,0.8,0.8,0.9,0.8,1.2,1,1,1
"Region","Oceania","Male 15-29 Rate",,,,,,,,,,,,,,,,4.9,5.1,4.1,4.4,5.2,3,2.2,2.9,2.3,4.1,4.6,4,4.2
"Region","Oceania","Male 30-44 Rate",,,,,,,,,,,,,,,,6,6.3,5.4,4.7,6.6,6.3,7.8,8,7.9,5.8,5.4,6.2,6.3
"Region","Oceania","Male 45-59 Rate",,,,,,,,,,,,,,,,4.6,5.2,3.8,4.7,4.6,6,7.6,5.1,6,4.5,5.4,5.3,5.5
"Region","Oceania","Male 60 or more Rate",,,,,,,,,,,,,,,,2.5,2.2,2.5,2.6,4.5,2,1.6,2.4,2.7,3,2.9,2.9,3
