"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","Asia","Southern Asia","Female Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Male Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","Asia","Southern Asia","Female Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albania","Europe","Southern Europe","Homicide Total Count",,,130,191,112,259,272,1334,660,532,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,82,99,68
"Albania","Europe","Southern Europe","Homicide Rate",,,4,6,3.6,8.3,8.8,43.1,21.3,17.1,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3
"Albania","Europe","Southern Europe","Male Homicide Count",,,116,175,100,233,244,1157,573,467,118,181,177,145,112,133,72,81,74,78,108,120,131,100,104,66,82,56
"Albania","Europe","Southern Europe","Female Homicide Count",,,14,16,12,26,28,177,87,65,13,39,39,21,19,21,23,24,19,7,19,22,26,24,13,17,19,12
"Albania","Europe","Southern Europe","Male Homicide Rate",,,7.1,11,6.4,15.2,16,75.5,37,29.8,7.5,11.5,11.2,9.2,7.2,8.6,4.7,5.3,4.9,5.3,7.3,8.1,8.9,6.8,7.1,4.5,5.5,3.8
"Albania","Europe","Southern Europe","Female Homicide Rate",,,0.9,1,0.8,1.6,1.8,11.3,5.6,4.2,0.8,2.5,2.5,1.4,1.2,1.4,1.5,1.6,1.3,0.5,1.3,1.5,1.8,1.7,0.9,1.2,1.3,0.8
"Albania","Europe","Southern Europe","Male 0-14 Count",,,,,,,,,,,,,,,,,0,1,1,3,2,4,2,0,4,1,,
"Albania","Europe","Southern Europe","Male 15-29 Count",,,,,,,,,,,,,,,,,15,17,15,16,25,22,24,23,26,15,,
"Albania","Europe","Southern Europe","Male 30-44 Count",,,,,,,,,,,,,,,,,38,44,35,45,53,43,61,39,38,22,,
"Albania","Europe","Southern Europe","Male 45-59 Count",,,,,,,,,,,,,,,,,19,19,23,14,28,33,44,38,29,8,,
"Albania","Europe","Southern Europe","Male 60 or more Count",,,,,,,,,,,,,,,,,0,0,0,0,0,17,0,0,7,6,,
"Albania","Europe","Southern Europe","Female 0-14 Count",,,,,,,,,,,,,,,,,4,0,0,2,0,1,2,0,0,0,,
"Albania","Europe","Southern Europe","Female 15-29 Count",,,,,,,,,,,,,,,,,4,8,2,0,3,5,5,7,3,7,,
"Albania","Europe","Southern Europe","Female 30-44 Count",,,,,,,,,,,,,,,,,7,8,7,4,5,7,12,4,5,4,,
"Albania","Europe","Southern Europe","Female 45-59 Count",,,,,,,,,,,,,,,,,8,8,10,2,5,7,7,10,4,2,,
"Albania","Europe","Southern Europe","Female 60 or more Count",,,,,,,,,,,,,,,,,0,0,0,0,6,3,0,4,1,1,,
"Albania","Europe","Southern Europe","Male 0-14 Rate",,,,,,,,,,,,,,,,,0,0.3,0.3,0.7,0.5,1.2,0.6,0,1.4,0.4,,
"Albania","Europe","Southern Europe","Male 15-29 Rate",,,,,,,,,,,,,,,,,4.1,4.6,4,4.3,6.6,5.9,6.3,6.1,7,4.1,,
"Albania","Europe","Southern Europe","Male 30-44 Rate",,,,,,,,,,,,,,,,,13.1,15.7,13,17.4,21,17,23.6,14.7,13.9,7.8,,
"Albania","Europe","Southern Europe","Male 45-59 Rate",,,,,,,,,,,,,,,,,7,6.9,8.3,5,9.9,11.5,15.1,12.9,9.8,2.7,,
"Albania","Europe","Southern Europe","Male 60 or more Rate",,,,,,,,,,,,,,,,,0,0,0,0,0,7.7,0,0,2.9,2.4,,
"Albania","Europe","Southern Europe","Female 0-14 Rate",,,,,,,,,,,,,,,,,1.1,0,0,0.5,0,0.3,0.7,0,0,0,,
"Albania","Europe","Southern Europe","Female 15-29 Rate",,,,,,,,,,,,,,,,,1,2.1,0.7,0,0.8,1.4,1.5,2,0.9,2.2,,
"Albania","Europe","Southern Europe","Female 30-44 Rate",,,,,,,,,,,,,,,,,2.3,2.6,2.2,1.4,1.8,2.4,4.2,1.3,1.7,1.3,,
"Albania","Europe","Southern Europe","Female 45-59 Rate",,,,,,,,,,,,,,,,,3.1,3,3.6,0.6,1.8,2.3,2.4,3.2,1.3,0.6,,
"Albania","Europe","Southern Europe","Female 60 or more Rate",,,,,,,,,,,,,,,,,0,0,0,0,2.7,1.3,0,1.6,0.4,0.4,,
"Albania","Europe","Southern Europe","Homicide by Firearms",,,,,,,,,,,,,,,,,59,68,59,54,89,86,100,90,70,46,43,
"Albania","Europe","Southern Europe","Homicide by Sharp Objects",,,,,,,,,,,,,,,,,15,13,12,13,20,27,25,19,18,11,18,
"Albania","Europe","Southern Europe","Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,21,24,22,17,17,29,32,15,29,9,,
"Albania","Europe","Southern Europe","Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,
"Albania","Europe","Southern Europe","Firearms Rate",,,,,,,,,,,,,,,,,1.9,2.2,2,1.8,3,2.9,3.4,3.1,2.4,1.6,1.5,
"Albania","Europe","Southern Europe","Sharp Objects Rate",,,,,,,,,,,,,,,,,0.5,0.4,0.4,0.5,0.7,0.9,0.9,0.7,0.6,0.4,0.6,
"Albania","Europe","Southern Europe","Other Mechanism Rate",,,,,,,,,,,,,,,,,0.7,0.8,0.7,0.6,0.6,1,1.1,0.5,1,0.3,,
"Albania","Europe","Southern Europe","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,
"Albania","Europe","Southern Europe","Male Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,65,38,,
"Albania","Europe","Southern Europe","Female Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,5,8,,
"Albania","Europe","Southern Europe","Male Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,16,9,,
"Albania","Europe","Southern Europe","Female Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,2,2,,
"Albania","Europe","Southern Europe","Male Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,23,5,,
"Albania","Europe","Southern Europe","Female Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,6,4,,
"Albania","Europe","Southern Europe","Male Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"Albania","Europe","Southern Europe","Female Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"Albania","Europe","Southern Europe","Male Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,4.4,2.6,,
"Albania","Europe","Southern Europe","Female Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.6,,
"Albania","Europe","Southern Europe","Male Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.6,,
"Albania","Europe","Southern Europe","Female Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,
"Albania","Europe","Southern Europe","Male Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.3,,
"Albania","Europe","Southern Europe","Female Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,,
"Albania","Europe","Southern Europe","Male Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"Albania","Europe","Southern Europe","Female Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"Algeria","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,,
"Algeria","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,,
"Algeria","Africa","Northern Africa","Male Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,492,469,,
"Algeria","Africa","Northern Africa","Female Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,85,73,,
"Algeria","Africa","Northern Africa","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.3,,
"Algeria","Africa","Northern Africa","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,
"Algeria","Africa","Northern Africa","Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,17,17,,
"Algeria","Africa","Northern Africa","Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,190,183,,
"Algeria","Africa","Northern Africa","Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,171,186,,
"Algeria","Africa","Northern Africa","Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,73,58,,
"Algeria","Africa","Northern Africa","Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,40,25,,
"Algeria","Africa","Northern Africa","Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,12,6,,
"Algeria","Africa","Northern Africa","Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,21,13,,
"Algeria","Africa","Northern Africa","Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,29,32,,
"Algeria","Africa","Northern Africa","Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,17,15,,
"Algeria","Africa","Northern Africa","Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,7,7,,
"Algeria","Africa","Northern Africa","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,
"Algeria","Africa","Northern Africa","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,,
"Algeria","Africa","Northern Africa","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.1,,
"Algeria","Africa","Northern Africa","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.2,,
"Algeria","Africa","Northern Africa","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.4,,
"Algeria","Africa","Northern Africa","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,,
"Algeria","Africa","Northern Africa","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,,
"Algeria","Africa","Northern Africa","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,
"Algeria","Africa","Northern Africa","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,
"Algeria","Africa","Northern Africa","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,
"Algeria","Africa","Northern Africa","Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,40,77,,
"Algeria","Africa","Northern Africa","Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,354,335,,
"Algeria","Africa","Northern Africa","Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,127,85,,
"Algeria","Africa","Northern Africa","Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,56,45,,
"Algeria","Africa","Northern Africa","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,,
"Algeria","Africa","Northern Africa","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,
"Algeria","Africa","Northern Africa","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,,
"Algeria","Africa","Northern Africa","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,
"Algeria","Africa","Northern Africa","Male Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,38,69,,
"Algeria","Africa","Northern Africa","Female Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,2,8,,
"Algeria","Africa","Northern Africa","Male Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,307,303,,
"Algeria","Africa","Northern Africa","Female Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,47,32,,
"Algeria","Africa","Northern Africa","Male Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,109,69,,
"Algeria","Africa","Northern Africa","Female Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,18,16,,
"Algeria","Africa","Northern Africa","Male Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,50,38,,
"Algeria","Africa","Northern Africa","Female Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,7,8,,
"Algeria","Africa","Northern Africa","Male Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,,
"Algeria","Africa","Northern Africa","Female Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"Algeria","Africa","Northern Africa","Male Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.5,,
"Algeria","Africa","Northern Africa","Female Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,
"Algeria","Africa","Northern Africa","Male Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.3,,
"Algeria","Africa","Northern Africa","Female Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,
"Algeria","Africa","Northern Africa","Male Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,,
"Algeria","Africa","Northern Africa","Female Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
"American Samoa","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,3,
"American Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4,
"American Samoa","Oceania","Polynesia","Male Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Firearms Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Sharp Objects Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Other Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Rate by Firearms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Rate by Sharp Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Rate by Other Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Male Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Samoa","Oceania","Polynesia","Female Homicide Rate by Unknown Mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,,,1,,,0,1,0,0,1,0,0,0,0,,
"Andorra","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,1.3,,,0,1.2,0,0,1.2,0,0,0,0,,
"Andorra","Europe","Southern Europe","Male Homicide Count",,,,,,,,,,,,,,,,,,,0,,,1,,,,,,
"Andorra","Europe","Southern Europe","Female Homicide Count",,,,,,,,,,,,,,,,,,,1,,,0,,,,,,
"Andorra","Europe","Southern Europe","Male Homicide Rate",,,,,,,,,,,,,,,,,,,0,,,2.3,,,,,,
"Andorra","Europe","Southern Europe","Female Homicide Rate",,,,,,,,,,,,,,,,,,,2.4,,,0,,,,,,
"Andorra","Europe","Southern Europe","Male 0-14 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Male 15-29 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Male 30-44 Count",,,,,,,,,,,,,,,,,,0,0,,,1,0,0,0,0,,
"Andorra","Europe","Southern Europe","Male 45-59 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Male 60 or more Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Female 0-14 Count",,,,,,,,,,,,,,,,,,0,1,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Female 15-29 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Female 30-44 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Female 45-59 Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
"Andorra","Europe","Southern Europe","Female 60 or more Count",,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,,
