"Country","Region","Indicator","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Algeria","Africa","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,68,81,,
"Algeria","Africa","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,30,20,,
"Algeria","Africa","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,10,6,,
"Algeria","Africa","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Algeria","Africa","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Algeria","Africa","Persons Convicted for Intentional Homicide",,406,,821,954,890,845,783,733,826,708,801,906,,
"Algeria","Africa","Male Convicted for Intentional Homicide",,,,792,911,850,790,740,692,796,620,761,877,,
"Algeria","Africa","Female Convicted for Intentional Homicide",,,,29,43,40,55,43,41,30,88,40,29,,
"Algeria","Africa","Rate: Convicted",,1.2,,2.4,2.8,2.6,2.4,2.2,2,2.2,1.8,2,2.3,,
"Algeria","Africa","Rate: Male Convicted",,,,4.6,5.3,4.8,4.4,4.1,3.7,4.2,3.2,3.9,4.4,,
"Algeria","Africa","Rate: Female Convicted",,,,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.5,0.2,0.1,,
"Andorra","Europe","Persons Brought into Formal Contact",,,,,0,1,1,1,,0,0,0,0,,
"Andorra","Europe","Male Brought into Formal Contact",,,,,0,0,1,0,,0,0,0,0,,
"Andorra","Europe","Female Brought into Formal Contact",,,,,0,1,0,1,,0,0,0,0,,
"Andorra","Europe","Rate: Persons Brought into Formal Contact",,,,,0,1.2,1.2,1.2,,0,0,0,0,,
"Andorra","Europe","Rate: Male Brought into Formal Contact",,,,,0,0,2.3,0,,0,0,0,0,,
"Andorra","Europe","Rate: Female Brought into Formal Contact",,,,,0,0,2.4,0,,0,0,0,0,,
"Andorra","Europe","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,0,,
"Andorra","Europe","Male 0-17 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Male 18-24 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Male 25-29 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Male 30-44 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Male 45-59 Brought into Formal Contact",,,,,,0,1,0,,0,0,0,0,,
"Andorra","Europe","Male over 60 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,0,,
"Andorra","Europe","Female 0-17 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Female 18-24 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Female 25-29 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Female 30-44 Brought into Formal Contact",,,,,,1,0,0,,0,0,0,0,,
"Andorra","Europe","Female 45-59 Brought into Formal Contact",,,,,,0,0,1,,0,0,0,0,,
"Andorra","Europe","Female over 60 Brought into Formal Contact",,,,,,0,0,0,,0,0,0,0,,
"Andorra","Europe","Citizens Brought into Formal Contact",,,,,,,,,,,,0,0,,
"Andorra","Europe","Foreigners Brought into Formal Contact",,,,,,,,,,,,0,0,,
"Andorra","Europe","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Andorra","Europe","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Andorra","Europe","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Andorra","Europe","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Andorra","Europe","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,0,0,,
"Andorra","Europe","Persons Convicted for Intentional Homicide",,,,,,0,0,0,,2,0,1,0,,
"Andorra","Europe","Male Convicted for Intentional Homicide",,,,,,0,0,0,,1,0,0,0,,
"Andorra","Europe","Female Convicted for Intentional Homicide",,,,,,0,0,0,,1,0,1,0,,
"Andorra","Europe","Rate: Convicted",,,,,,0,0,0,,2.4,0,1.3,0,,
"Andorra","Europe","Rate: Male Convicted",,,,,,0,0,0,,2.4,0,0,0,,
"Andorra","Europe","Rate: Female Convicted",,,,,,0,0,0,,2.5,0,2.6,0,,
"Argentina","Americas","Persons Brought into Formal Contact",,,,,,,,,,,,,1147,,
"Argentina","Americas","Male Brought into Formal Contact",,,,,,,,,,,,,1063,,
"Argentina","Americas","Female Brought into Formal Contact",,,,,,,,,,,,,84,,
"Argentina","Americas","Rate: Persons Brought into Formal Contact",,,,,,,,,,,,,2.6,,
"Argentina","Americas","Rate: Male Brought into Formal Contact",,,,,,,,,,,,,5,,
"Argentina","Americas","Rate: Female Brought into Formal Contact",,,,,,,,,,,,,4.8,,
"Argentina","Americas","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,14,,
"Argentina","Americas","Male 0-17 Brought into Formal Contact",,,,,,,,,,,,,137,,
"Argentina","Americas","Male 18-24 Brought into Formal Contact",,,,,,,,,,,,,378,,
"Argentina","Americas","Male 25-29 Brought into Formal Contact",,,,,,,,,,,,,174,,
"Argentina","Americas","Male 30-44 Brought into Formal Contact",,,,,,,,,,,,,235,,
"Argentina","Americas","Male 45-59 Brought into Formal Contact",,,,,,,,,,,,,104,,
"Argentina","Americas","Male over 60 Brought into Formal Contact",,,,,,,,,,,,,35,,
"Argentina","Americas","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,2,,
"Argentina","Americas","Female 0-17 Brought into Formal Contact",,,,,,,,,,,,,8,,
"Argentina","Americas","Female 18-24 Brought into Formal Contact",,,,,,,,,,,,,29,,
"Argentina","Americas","Female 25-29 Brought into Formal Contact",,,,,,,,,,,,,17,,
"Argentina","Americas","Female 30-44 Brought into Formal Contact",,,,,,,,,,,,,17,,
"Argentina","Americas","Female 45-59 Brought into Formal Contact",,,,,,,,,,,,,9,,
"Argentina","Americas","Female over 60 Brought into Formal Contact",,,,,,,,,,,,,4,,
"Argentina","Americas","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Argentina","Americas","Persons Convicted for Intentional Homicide",,,,,,,,,,,,,1694,,
"Argentina","Americas","Male Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Argentina","Americas","Female Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Argentina","Americas","Rate: Convicted",,,,,,,,,,,,,3.9,,
"Argentina","Americas","Rate: Male Convicted",,,,,,,,,,,,,,,
"Argentina","Americas","Rate: Female Convicted",,,,,,,,,,,,,,,
"Armenia","Asia","Persons Brought into Formal Contact",,65,51,64,52,70,74,58,47,54,37,44,48,61,61
"Armenia","Asia","Male Brought into Formal Contact",,62,49,61,47,67,69,54,46,53,34,41,47,58,59
"Armenia","Asia","Female Brought into Formal Contact",,3,2,3,5,3,5,4,1,1,3,3,1,3,2
"Armenia","Asia","Rate: Persons Brought into Formal Contact",,2.2,1.7,2.2,1.8,2.4,2.6,2,1.6,1.9,1.3,1.5,1.6,2.1,2.1
"Armenia","Asia","Rate: Male Brought into Formal Contact",,4.4,3.5,4.4,3.4,4.9,5.1,4,3.4,3.9,2.5,3,3.4,4.2,4.3
"Armenia","Asia","Rate: Female Brought into Formal Contact",,3.9,3.1,3.9,3,4.3,4.5,3.5,3,3.5,2.2,2.7,3,3.7,3.8
"Armenia","Asia","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Armenia","Asia","Male 0-17 Brought into Formal Contact",,,,,,7,1,2,0,0,0,1,1,5,0
"Armenia","Asia","Male 18-24 Brought into Formal Contact",,,,,,10,11,7,8,8,3,7,7,11,13
"Armenia","Asia","Male 25-29 Brought into Formal Contact",,,,,,12,9,8,11,8,5,6,9,13,8
"Armenia","Asia","Male 30-44 Brought into Formal Contact",,,,,,26,35,28,19,24,13,20,24,27,32
"Armenia","Asia","Male 45-59 Brought into Formal Contact",,,,,,12,13,9,8,13,6,,,,
"Armenia","Asia","Male over 60 Brought into Formal Contact",,,,,,,,,,,6,7,7,2,6
"Armenia","Asia","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Armenia","Asia","Female 0-17 Brought into Formal Contact",,,,,,0,0,0,0,0,0,0,0,,
"Armenia","Asia","Female 18-24 Brought into Formal Contact",,,,,,1,0,0,0,0,0,1,0,0,0
"Armenia","Asia","Female 25-29 Brought into Formal Contact",,,,,,0,1,0,0,0,0,0,0,0,0
"Armenia","Asia","Female 30-44 Brought into Formal Contact",,,,,,2,3,3,1,1,3,2,1,2,1
"Armenia","Asia","Female 45-59 Brought into Formal Contact",,,,,,0,1,1,0,0,0,,,,
"Armenia","Asia","Female over 60 Brought into Formal Contact",,,,,,,,,,,0,0,1,1,1
"Armenia","Asia","Citizens Brought into Formal Contact",,,,,,,,,,,37,44,47,62,61
"Armenia","Asia","Foreigners Brought into Formal Contact",,,,,,,,,,,0,0,1,0,0
"Armenia","Asia","Male Citizens Brought into Formal Contact",,,,,,,,,,,30,41,45,58,59
"Armenia","Asia","Female Citizens Brought into Formal Contact",,,,,,,,,,,7,3,2,3,2
"Armenia","Asia","Male Foreigners Brought into Formal Contact",,,,,,,,,,,0,0,1,0,0
"Armenia","Asia","Female Foreigners Brought into Formal Contact",,,,,,,,,,,0,0,0,0,0
"Armenia","Asia","Persons Brought into Formal Contact not Intoxicated",,,,,,53,63,51,39,49,33,43,45,61,57
"Armenia","Asia","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,17,11,7,8,5,4,1,1,0,4
"Armenia","Asia","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,0,0,0,0,0,0,0,2,0,0
"Armenia","Asia","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,0,0,0,0,0,0,0,0,0,0
"Armenia","Asia","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,0,0,0,0,0,0,0,0,0,0
"Armenia","Asia","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,0,0,0,0,0,0,0,0,0,0
"Armenia","Asia","Persons Convicted for Intentional Homicide",,68,63,23,16,31,42,58,36,43,32,31,17,21,27
"Armenia","Asia","Male Convicted for Intentional Homicide",,,,22,16,30,,54,35,43,30,29,16,20,26
"Armenia","Asia","Female Convicted for Intentional Homicide",,,,1,0,1,,4,1,0,2,2,1,1,1
"Armenia","Asia","Rate: Convicted",,2.3,2.1,0.8,0.5,1.1,1.5,2,1.3,1.5,1.1,1.1,0.6,0.7,0.9
"Armenia","Asia","Rate: Male Convicted",,,,1.6,1.2,2.2,,4,2.6,3.2,2.2,2.1,1.2,1.5,1.9
"Armenia","Asia","Rate: Female Convicted",,,,0.1,0,0.1,,0.3,0.1,0,0.1,0.1,0.1,0.1,0.1
"Australia","Oceania","Persons Brought into Formal Contact",,,,,,,318,326,303,261,296,270,304,276,245
"Australia","Oceania","Male Brought into Formal Contact",,,,,,,286,272,256,217,262,237,250,240,203
"Australia","Oceania","Female Brought into Formal Contact",,,,,,,36,55,48,41,36,34,48,40,43
"Australia","Oceania","Rate: Persons Brought into Formal Contact",,,,,,,1.5,1.5,1.3,1.1,1.3,1.2,1.3,1.1,1
"Australia","Oceania","Rate: Male Brought into Formal Contact",,,,,,,2.6,2.5,2.3,1.9,2.3,2,2.1,2,1.7
"Australia","Oceania","Rate: Female Brought into Formal Contact",,,,,,,2.6,2.5,2.3,1.9,2.3,2,2.1,2,1.7
"Australia","Oceania","Male 0-14 Brought into Formal Contact",,,,,,,0,0,0,0,0,0,0,0,0
"Australia","Oceania","Male 0-17 Brought into Formal Contact",,,,,,,29,17,12,13,16,15,4,9,11
"Australia","Oceania","Male 18-24 Brought into Formal Contact",,,,,,,74,86,62,47,60,42,49,59,31
"Australia","Oceania","Male 25-29 Brought into Formal Contact",,,,,,,53,42,44,36,50,40,46,43,32
"Australia","Oceania","Male 30-44 Brought into Formal Contact",,,,,,,87,81,87,75,98,89,88,96,61
"Australia","Oceania","Male 45-59 Brought into Formal Contact",,,,,,,27,34,35,38,32,45,53,31,46
"Australia","Oceania","Male over 60 Brought into Formal Contact",,,,,,,16,5,9,6,12,10,16,8,24
"Australia","Oceania","Female 0-14 Brought into Formal Contact",,,,,,,0,0,0,0,0,0,0,0,0
"Australia","Oceania","Female 0-17 Brought into Formal Contact",,,,,,,0,0,0,0,0,0,0,0,0
"Australia","Oceania","Female 18-24 Brought into Formal Contact",,,,,,,10,7,13,11,9,6,10,3,10
"Australia","Oceania","Female 25-29 Brought into Formal Contact",,,,,,,0,11,8,9,4,4,5,8,13
"Australia","Oceania","Female 30-44 Brought into Formal Contact",,,,,,,14,19,25,14,12,17,25,24,17
"Australia","Oceania","Female 45-59 Brought into Formal Contact",,,,,,,5,12,9,6,9,7,5,8,5
"Australia","Oceania","Female over 60 Brought into Formal Contact",,,,,,,4,3,0,3,0,0,3,0,0
"Australia","Oceania","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Australia","Oceania","Persons Convicted for Intentional Homicide",,,,,,,98,118,114,96,134,125,128,116,139
"Australia","Oceania","Male Convicted for Intentional Homicide",,,,,,,90,108,96,91,128,116,115,97,124
"Australia","Oceania","Female Convicted for Intentional Homicide",,,,,,,10,7,17,4,5,8,12,16,16
"Australia","Oceania","Rate: Convicted",,,,,,,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.5,0.6
"Australia","Oceania","Rate: Male Convicted",,,,,,,0.8,1,0.9,0.8,1.1,1,1,0.8,1
"Australia","Oceania","Rate: Female Convicted",,,,,,,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0.1
"Austria","Europe","Persons Brought into Formal Contact",,,,,,,,60,79,81,63,41,46,58,
"Austria","Europe","Male Brought into Formal Contact",,,,,,,,49,65,65,51,31,43,48,
"Austria","Europe","Female Brought into Formal Contact",,,,,,,,11,14,16,12,10,3,10,
"Austria","Europe","Rate: Persons Brought into Formal Contact",,,,,,,,0.7,0.9,1,0.7,0.5,0.5,0.7,
"Austria","Europe","Rate: Male Brought into Formal Contact",,,,,,,,1.2,1.6,1.6,1.2,0.7,1,1.1,
"Austria","Europe","Rate: Female Brought into Formal Contact",,,,,,,,1.1,1.5,1.5,1.2,0.7,1,1.1,
"Austria","Europe","Male 0-14 Brought into Formal Contact",,,,,,,,,,,0,0,0,,
"Austria","Europe","Male 0-17 Brought into Formal Contact",,,,,,,,,,,1,0,3,,
"Austria","Europe","Male 18-24 Brought into Formal Contact",,,,,,,,,,,7,6,8,,
"Austria","Europe","Male 25-29 Brought into Formal Contact",,,,,,,,,,,13,2,4,,
"Austria","Europe","Male 30-44 Brought into Formal Contact",,,,,,,,,,,14,10,17,,
"Austria","Europe","Male 45-59 Brought into Formal Contact",,,,,,,,,,,8,5,8,,
"Austria","Europe","Male over 60 Brought into Formal Contact",,,,,,,,,,,8,8,3,,
"Austria","Europe","Female 0-14 Brought into Formal Contact",,,,,,,,,,,0,0,0,,
"Austria","Europe","Female 0-17 Brought into Formal Contact",,,,,,,,,,,2,1,0,,
"Austria","Europe","Female 18-24 Brought into Formal Contact",,,,,,,,,,,2,1,1,,
"Austria","Europe","Female 25-29 Brought into Formal Contact",,,,,,,,,,,2,1,0,,
"Austria","Europe","Female 30-44 Brought into Formal Contact",,,,,,,,,,,4,3,0,,
"Austria","Europe","Female 45-59 Brought into Formal Contact",,,,,,,,,,,1,3,2,,
"Austria","Europe","Female over 60 Brought into Formal Contact",,,,,,,,,,,1,1,0,,
"Austria","Europe","Citizens Brought into Formal Contact",,,,,,,,,,,42,27,31,,
"Austria","Europe","Foreigners Brought into Formal Contact",,,,,,,,,,,21,14,15,,
"Austria","Europe","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Austria","Europe","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Austria","Europe","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Austria","Europe","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Austria","Europe","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Austria","Europe","Persons Convicted for Intentional Homicide",,,,,,,,33,29,38,33,33,,32,
"Austria","Europe","Male Convicted for Intentional Homicide",,,,,,,,30,26,34,28,29,,,
"Austria","Europe","Female Convicted for Intentional Homicide",,,,,,,,3,3,4,5,4,,,
"Austria","Europe","Rate: Convicted",,,,,,,,0.4,0.3,0.4,0.4,0.4,,0.4,
"Austria","Europe","Rate: Male Convicted",,,,,,,,0.7,0.6,0.8,0.7,0.7,,,
"Austria","Europe","Rate: Female Convicted",,,,,,,,0.1,0.1,0.1,0.1,0.1,,,
"Azerbaijan","Asia","Persons Brought into Formal Contact",175,195,225,215,194,174,,222,,237,228,214,284,241,235
"Azerbaijan","Asia","Male Brought into Formal Contact",,,,,,,,212,,226,219,207,270,231,220
"Azerbaijan","Asia","Female Brought into Formal Contact",,,,,,,,10,,11,9,7,14,10,15
"Azerbaijan","Asia","Rate: Persons Brought into Formal Contact",2.1,2.3,2.6,2.5,2.2,2,,2.5,,2.6,2.4,2.3,3,2.5,2.4
"Azerbaijan","Asia","Rate: Male Brought into Formal Contact",,,,,,,,4.7,,4.9,4.7,4.4,5.6,4.8,4.5
"Azerbaijan","Asia","Rate: Female Brought into Formal Contact",,,,,,,,4.7,,4.8,4.6,4.3,5.6,4.7,4.5
"Azerbaijan","Asia","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,1,
"Azerbaijan","Asia","Male 0-17 Brought into Formal Contact",,,,,,,,,,17,11,11,9,8,10
"Azerbaijan","Asia","Male 18-24 Brought into Formal Contact",,,,,,,,,,63,51,61,77,45,44
"Azerbaijan","Asia","Male 25-29 Brought into Formal Contact",,,,,,,,,,42,42,40,55,43,36
