"Country","Region","Indicator","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Finland","Europe","Robbery-Related Homicide",7,4,2,1,4,3,2,1,4,6,5,2,
"Finland","Europe","Robbery: Female Homicide",0,0,0,1,1,1,1,0,0,0,1,,
"Finland","Europe","Robbery: Male Homicide",7,4,2,0,3,2,1,1,4,6,4,,
"France","Europe","Robbery-Related Homicide",,,,,,,,,,,,,16
"France","Europe","Robbery: Female Homicide",,,,,,,,,,,,,6
"France","Europe","Robbery: Male Homicide",,,,,,,,,,,,,10
"Germany","Europe","Robbery-Related Homicide",,,,,24,24,32,21,25,23,16,,
"Germany","Europe","Robbery: Female Homicide",,,,,12,17,9,10,12,12,6,,
"Germany","Europe","Robbery: Male Homicide",,,,,12,7,23,11,13,11,10,,
"Guyana","Americas","Robbery-Related Homicide",,,,,,,22,11,23,,24,,
"Guyana","Americas","Robbery: Female Homicide",,,,,,,2,0,1,,4,,
"Guyana","Americas","Robbery: Male Homicide",,,,,,,20,11,22,,20,,
"Holy See","Europe","Gangs-Related Homicide",,,,,0,0,0,0,0,0,0,,
"Holy See","Europe","Organized Crime-Related Homicide",,,,,0,0,0,0,0,0,0,,
"Holy See","Europe","Robbery-Related Homicide",,,,,0,0,0,0,0,0,0,,
"Honduras","Americas","Gangs-Related Homicide",,,73,21,63,56,77,110,89,231,281,274,
"Honduras","Americas","Gangs: Female Homicide",,,,,,,,,,,30,,
"Honduras","Americas","Gangs: Male Homicide",,,,,,,,,,,251,,
"Honduras","Americas","Organized Crime-Related Homicide",,,759,1617,1737,2136,1968,1728,915,1030,894,1154,
"Honduras","Americas","Robbery-Related Homicide",,,223,346,349,380,404,388,318,395,272,245,
"Honduras","Americas","Robbery: Female Homicide",,,,,,,,,,,17,,
"Honduras","Americas","Robbery: Male Homicide",,,,,,,,,,,255,,
"Hungary","Europe","Organized Crime-Related Homicide",0,1,1,0,0,0,0,0,0,0,,,
"Hungary","Europe","Organized Crime: Female Homicide",,,1,,,,,,,,,,
"Hungary","Europe","Organized Crime: Male Homicide",,,0,,,,,,,,,,
"Iceland","Europe","Gangs-Related Homicide",,,,,,0,0,0,0,0,,,
"Iceland","Europe","Organized Crime-Related Homicide",,,,,,0,0,0,0,0,,,
"Iceland","Europe","Robbery-Related Homicide",,,,,,0,0,0,0,0,,,
"India","Asia","Robbery-Related Homicide",,,,,,,,,,,,256,
"Italy","Europe","Organized Crime-Related Homicide",109,109,119,106,90,69,53,68,52,50,41,,
"Italy","Europe","Organized Crime: Female Homicide",,,,,,,,0,1,0,1,,
"Italy","Europe","Organized Crime: Male Homicide",,,,,,,,68,51,50,40,,
"Italy","Europe","Robbery-Related Homicide",28,34,35,31,22,35,28,43,33,24,35,,
"Italy","Europe","Robbery: Female Homicide",5,8,10,5,9,15,15,20,19,8,9,,
"Italy","Europe","Robbery: Male Homicide",23,26,25,26,13,20,13,23,14,16,26,,
"Jamaica","Americas","Gangs-Related Homicide",,436,799,734,882,398,566,729,932,603,850,,
"Jamaica","Americas","Gangs: Female Homicide",,28,43,51,45,22,33,59,65,39,56,,
"Jamaica","Americas","Gangs: Male Homicide",,408,756,683,837,376,533,670,867,564,794,,
"Jamaica","Americas","Robbery-Related Homicide",,,,,,,,18,,,29,,
"Jamaica","Americas","Robbery: Female Homicide",,,,,,,,2,,,4,,
"Jamaica","Americas","Robbery: Male Homicide",,,,,,,,16,,,25,,
"Japan","Asia","Robbery-Related Homicide",43,32,30,26,36,22,23,11,20,14,,,
"Japan","Asia","Robbery: Female Homicide",28,17,15,6,7,6,10,5,10,6,,,
"Japan","Asia","Robbery: Male Homicide",15,15,15,20,29,16,13,6,10,8,,,
"Jordan","Asia","Robbery-Related Homicide",,,,,,,7,8,,,,,
"Jordan","Asia","Robbery: Female Homicide",,,,,,,1,1,,,,,
"Jordan","Asia","Robbery: Male Homicide",,,,,,,6,7,,,,,
"Liechtenstein","Europe","Gangs-Related Homicide",,,,,,0,,,,,,,
"Liechtenstein","Europe","Organized Crime-Related Homicide",,,,,,0,,,,,,,
"Liechtenstein","Europe","Robbery-Related Homicide",,,,,,0,,,,,,,
"Luxembourg","Europe","Gangs-Related Homicide",,,0,1,0,0,0,,,,,,
"Luxembourg","Europe","Gangs: Female Homicide",,,,0,,,,,,,,,
"Luxembourg","Europe","Gangs: Male Homicide",,,,1,,,,,,,,,
"Luxembourg","Europe","Organized Crime-Related Homicide",,,1,0,1,0,0,,,,,,
"Luxembourg","Europe","Robbery-Related Homicide",,,0,0,0,1,1,,,,,,
"Luxembourg","Europe","Robbery: Female Homicide",,,,,,0,0,,,,,,
"Luxembourg","Europe","Robbery: Male Homicide",,,,,,1,1,,,,,,
"Malta","Europe","Robbery-Related Homicide",0,0,0,0,0,1,0,0,0,0,1,,
"Malta","Europe","Robbery: Female Homicide",,,,,,0,,,,,1,,
"Malta","Europe","Robbery: Male Homicide",,,,,,1,,,,,0,,
"Mauritius","Africa","Robbery-Related Homicide",,,,,3,1,3,4,,,,,
"Mauritius","Africa","Robbery: Female Homicide",,,,,1,0,1,1,,,,,
"Mauritius","Africa","Robbery: Male Homicide",,,,,2,1,2,3,,,,,
"Montenegro","Europe","Robbery-Related Homicide",,,,,,,1,,1,0,1,,
"Montenegro","Europe","Robbery: Female Homicide",,,,,,,0,,0,,1,,
"Montenegro","Europe","Robbery: Male Homicide",,,,,,,1,,1,,0,,
"Morocco","Africa","Gangs-Related Homicide",,,,,,,,,3,,13,,
"Morocco","Africa","Gangs: Female Homicide",,,,,,,,,0,,0,,
"Morocco","Africa","Gangs: Male Homicide",,,,,,,,,3,,13,,
"Morocco","Africa","Organized Crime-Related Homicide",,,,,,,,,3,,1,,
"Morocco","Africa","Organized Crime: Female Homicide",,,,,,,,,1,,0,,
"Morocco","Africa","Organized Crime: Male Homicide",,,,,,,,,2,,1,,
"Morocco","Africa","Robbery-Related Homicide",,,,,,,,,22,,36,,
"Morocco","Africa","Robbery: Female Homicide",,,,,,,,,5,,5,,
"Morocco","Africa","Robbery: Male Homicide",,,,,,,,,17,,31,,
"Netherlands","Europe","Gangs-Related Homicide",,,0,0,0,0,0,0,0,0,0,,
"Netherlands","Europe","Organized Crime-Related Homicide",,,9,7,13,8,17,12,13,21,17,,
"Netherlands","Europe","Organized Crime: Female Homicide",,,0,0,1,0,0,0,1,1,1,,
"Netherlands","Europe","Organized Crime: Male Homicide",,,9,7,12,8,17,12,12,20,16,,
"Netherlands","Europe","Robbery-Related Homicide",,,10,3,6,10,4,8,9,11,1,,
"Netherlands","Europe","Robbery: Female Homicide",,,1,1,4,3,0,2,5,4,1,,
"Netherlands","Europe","Robbery: Male Homicide",,,9,2,2,7,4,6,4,7,0,,
"Panama","Americas","Gangs-Related Homicide",29,24,27,65,64,46,68,32,,114,52,,
"Panama","Americas","Gangs: Female Homicide",1,0,1,2,7,0,1,0,,4,0,,
"Panama","Americas","Gangs: Male Homicide",28,24,25,62,56,46,68,32,,110,52,,
"Panama","Americas","Organized Crime-Related Homicide",35,32,36,96,105,68,100,158,,98,134,,
"Panama","Americas","Organized Crime: Female Homicide",,,,,,,,9,,1,0,,
"Panama","Americas","Organized Crime: Male Homicide",,,,,,,,149,,97,134,,
"Panama","Americas","Robbery-Related Homicide",38,15,18,44,46,39,58,32,,67,78,,
"Panama","Americas","Robbery: Female Homicide",4,1,1,3,3,0,,1,,5,8,,
"Panama","Americas","Robbery: Male Homicide",34,14,17,41,43,39,,32,,62,70,,
"Peru","Americas","Robbery-Related Homicide",,,,,,,80,,89,136,,,
"Peru","Americas","Robbery: Female Homicide",,,,,,,10,,6,23,,,
"Peru","Americas","Robbery: Male Homicide",,,,,,,70,,83,113,,,
"Poland","Europe","Gangs-Related Homicide",,,,,16,11,10,10,6,9,9,,
"Poland","Europe","Robbery-Related Homicide",,,,,55,63,55,39,10,37,45,,
"Republic of Korea","Asia","Robbery-Related Homicide",,,,,,,34,43,49,52,,,
"Republic of Korea","Asia","Robbery: Female Homicide",,,,,,,18,2,4,10,,,
"Republic of Korea","Asia","Robbery: Male Homicide",,,,,,,16,41,45,42,,,
"Saint Lucia","Americas","Gangs-Related Homicide",,,,,,,,,,,5,10,9
"Saint Lucia","Americas","Gangs: Female Homicide",,,,,,,,,,,1,1,0
"Saint Lucia","Americas","Gangs: Male Homicide",,,,,,,,,,,4,9,9
"Saint Lucia","Americas","Organized Crime-Related Homicide",,,,,,,,,,,0,0,0
"Saint Lucia","Americas","Organized Crime: Female Homicide",,,,,,,,,,,1,1,0
"Saint Lucia","Americas","Robbery-Related Homicide",,,,,,,,,,,0,0,3
"Slovakia","Europe","Robbery-Related Homicide",,,,,,,,,,3,,,
"Slovakia","Europe","Robbery: Female Homicide",,,,,,,,,,1,,,
"Slovakia","Europe","Robbery: Male Homicide",,,,,,,,,,2,,,
"Slovenia","Europe","Organized Crime-Related Homicide",0,0,0,0,0,0,1,0,,,,,
"Slovenia","Europe","Organized Crime: Female Homicide",,,,,,,0,,,,,,
"Slovenia","Europe","Organized Crime: Male Homicide",,,,,,,1,,,,,,
"Spain","Europe","Gangs-Related Homicide",,,,,,,2,6,0,1,0,,
"Spain","Europe","Gangs: Female Homicide",,,,,,,0,0,,0,,,
"Spain","Europe","Gangs: Male Homicide",,,,,,,2,6,,1,,,
"Spain","Europe","Organized Crime-Related Homicide",,,,,,,2,3,4,3,2,,
"Spain","Europe","Organized Crime: Female Homicide",,,,,,,,0,0,0,0,,
"Spain","Europe","Organized Crime: Male Homicide",,,,,,,,3,4,3,2,,
"Spain","Europe","Robbery-Related Homicide",,,,,,,11,16,8,13,8,,
"Spain","Europe","Robbery: Female Homicide",,,,,,,3,3,2,7,4,,
"Spain","Europe","Robbery: Male Homicide",,,,,,,8,13,6,7,4,,
"Sri Lanka","Asia","Gangs-Related Homicide",,,,284,91,39,43,48,38,,,,
"Sri Lanka","Asia","Gangs: Female Homicide",,,,39,11,5,3,7,5,,,,
"Sri Lanka","Asia","Gangs: Male Homicide",,,,245,80,33,40,40,34,,,,
"Sri Lanka","Asia","Organized Crime-Related Homicide",,,,272,118,32,31,29,23,,,,
"Sri Lanka","Asia","Organized Crime: Female Homicide",,,,67,29,,4,4,1,,,,
"Sri Lanka","Asia","Organized Crime: Male Homicide",,,,205,89,,27,25,22,,,,
"Sri Lanka","Asia","Robbery-Related Homicide",,,,29,27,25,20,27,16,,,,
"Sri Lanka","Asia","Robbery: Female Homicide",,,,7,10,9,9,5,5,,,,
"Sri Lanka","Asia","Robbery: Male Homicide",,,,22,16,16,10,22,11,,,,
"Suriname","Americas","Robbery-Related Homicide",,,,,,,,,5,6,5,11,
"Sweden","Europe","Gangs-Related Homicide",,,,,,12,,,,,,,
"Sweden","Europe","Gangs: Female Homicide",,,,,,0,,,,,,,
"Sweden","Europe","Gangs: Male Homicide",,,,,,12,,,,,,,
"Switzerland","Europe","Organized Crime-Related Homicide",,,,,0,0,0,0,0,0,0,0,0
"Switzerland","Europe","Organized Crime: Female Homicide",,,,,0,0,0,0,0,0,0,0,0
"Switzerland","Europe","Organized Crime: Male Homicide",,,,,0,0,0,0,0,0,0,0,0
"Switzerland","Europe","Robbery-Related Homicide",,,,,1,1,1,1,2,1,0,1,0
"Switzerland","Europe","Robbery: Female Homicide",,,,,1,0,0,0,0,0,0,0,0
"Switzerland","Europe","Robbery: Male Homicide",,,,,0,1,1,1,2,1,0,1,0
"The former Yugoslav Republic of Macedonia","Europe","Gangs-Related Homicide",,1,0,0,0,0,0,0,0,0,,,
"The former Yugoslav Republic of Macedonia","Europe","Gangs: Female Homicide",,0,,,,,,,,,,,
"The former Yugoslav Republic of Macedonia","Europe","Gangs: Male Homicide",,1,,,,,,,,,,,
"The former Yugoslav Republic of Macedonia","Europe","Organized Crime-Related Homicide",,0,0,1,0,0,0,0,0,0,,,
"The former Yugoslav Republic of Macedonia","Europe","Robbery-Related Homicide",,2,0,1,3,3,1,1,2,1,,,
"The former Yugoslav Republic of Macedonia","Europe","Robbery: Female Homicide",,2,,0,3,1,0,,0,0,,,
"The former Yugoslav Republic of Macedonia","Europe","Robbery: Male Homicide",,0,,1,0,2,1,,2,1,,,
"Trinidad and Tobago","Americas","Gangs-Related Homicide",,158,206,270,155,75,93,144,197,142,141,,
"Trinidad and Tobago","Americas","Gangs: Female Homicide",,4,6,9,3,5,0,7,3,3,1,,
"Trinidad and Tobago","Americas","Gangs: Male Homicide",,154,200,261,152,70,93,137,194,139,140,,
"Trinidad and Tobago","Americas","Robbery-Related Homicide",,40,47,55,81,85,52,49,31,49,41,,
"Trinidad and Tobago","Americas","Robbery: Female Homicide",,6,5,5,9,8,2,13,4,9,4,,
"Trinidad and Tobago","Americas","Robbery: Male Homicide",,34,42,50,72,77,50,36,27,40,37,,
"United Kingdom (England and Wales)","Europe","Robbery-Related Homicide",,,,29,19,17,20,13,22,14,,,
"United Kingdom (England and Wales)","Europe","Robbery: Female Homicide",,,,5,3,0,2,1,4,3,,,
"United Kingdom (England and Wales)","Europe","Robbery: Male Homicide",,,,24,16,17,18,12,18,11,,,
"United Republic of Tanzania","Africa","Robbery-Related Homicide",,,,,,143,39,151,95,122,99,,
"United Republic of Tanzania","Africa","Robbery: Female Homicide",,,,,,47,13,50,31,40,33,,
"United Republic of Tanzania","Africa","Robbery: Male Homicide",,,,,,96,26,101,64,82,66,,
"United States of America","Americas","Gangs-Related Homicide",848,858,675,695,715,675,526,720,584,570,604,428,
"United States of America","Americas","Gangs: Female Homicide",,36,42,34,35,33,21,35,18,34,20,,
"United States of America","Americas","Gangs: Male Homicide",,822,633,661,672,634,501,679,571,516,572,,
"United States of America","Americas","Organized Crime-Related Homicide",107,120,78,134,177,181,149,151,137,145,186,482,
"United States of America","Americas","Organized Crime: Female Homicide",,,,,,,,11,10,7,10,,
"United States of America","Americas","Organized Crime: Male Homicide",,,,,,,,139,128,133,172,,
"United States of America","Americas","Robbery-Related Homicide",930,1053,935,930,857,803,750,647,673,548,590,716,
"United States of America","Americas","Robbery: Female Homicide",,129,114,102,103,83,80,75,79,61,53,69,
"United States of America","Americas","Robbery: Male Homicide",,917,817,822,746,696,653,572,594,487,537,652,
"Uruguay","Americas","Robbery-Related Homicide",,,,,,,31,37,57,45,53,,
"Uruguay","Americas","Robbery: Female Homicide",,,,,,,4,6,12,6,11,,
"Uruguay","Americas","Robbery: Male Homicide",,,,,,,27,31,45,39,42,,
