"Level","UNODC_Name","Region","Subregion","Variable","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"World","World","World","World","Number of countries with estimated data (covered)",202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
"World","World","World","World","Proportion of polulation in countries with estimated data",0.974086998907879,0.973770961272057,0.973418067083202,0.973046228438278,0.972679291084415,0.97233297672445,0.972011746954281,0.971708171077863,0.971410669297706,0.971104211685076,0.970779173995777,0.970433146897599,0.970069354398017,0.969689681917528,0.969297542331646,0.968895418249879,0.96848305303107,0.968059442358939,0.967625578087526,0.967182637963917,0.966731195637096,0.966272011342966,0.965804381257696,0.965325686705893,0.964832242084497,0.964321732988329,0.96374069161002,0.963248332066906
"World","World","World","World","Estimated Homicide Count",361798.927409323,378059.975136067,395542.191899752,413459.483421309,418390.393274368,417057.352000921,410001.157449162,406960.040255884,410414.87211108,408838.937009265,418900.117304718,429992.934691162,433951.772570194,428985.708388545,420608.040237941,412785.958707011,410928.425394209,405712.624873377,416911.921815484,421868.625839446,425087.467490984,435807.456515482,440958.182584944,438415.948206417,445885.140884176,444870.673715621,450719.276253639,463821.358746755
"World","World","World","World","Lower range - Estimated homicide count",242369.541169193,260277.225819647,279616.091258232,299625.900042219,308563.129412678,309907.452270221,305120.643665012,304430.154996313,309312.20767564,310486.876548282,321714.805808073,333524.468566339,339179.8667441,337445.611094955,331768.179361477,326290.899894018,325971.665267645,323411.511813952,336137.452116464,342962.913504513,347278.213464501,358807.065211662,366343.504111597,363693.874554416,371555.334273413,369829.237833797,376138.998618129,377371.988122139
"World","World","World","World","Upper range - Estimated homicide count",484887.374242745,498598.411596249,513302.33901753,528292.412177513,527752.388907595,522687.77886089,513873.716120197,508647.227530533,509986.240732112,506872.329550368,516199.248554408,526169.69033702,527982.527302256,520528.445610061,509831.042867569,499668.618487661,495510.559451193,487702.810268787,496726.583735914,499677.610365627,501983.270209394,511165.996888065,512925.943031253,510153.022964466,516278.47777309,515840.326294561,520695.910594046,546255.257197787
"World","World","World","World","ESTIMATES - VICTIMS BY SEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","World","World","World","Number of countries with actual data (sex)",35,33,35,38,42,41,45,42,41,47,54,56,56,59,73,79,85,92,101,104,102,102,102,94,95,82,75,49
"World","World","World","World","Number of countries with estimated data (sex)",132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,129
"World","World","World","World","Proportion of polulation in countries with estimated data (sex)",0.587154040857131,0.585967207210693,0.584906408588982,0.583973011346098,0.583160746367564,0.582460676618769,0.581878520134914,0.581405013602192,0.580987697215822,0.580577353483051,0.580151409358992,0.57968779419446,0.579188820760222,0.57866813528976,0.578148362639289,0.577643274828278,0.577156638721265,0.576674851842268,0.576177642411719,0.575638667219879,0.575040916846727,0.574378059322853,0.573659073856282,0.572901666598004,0.572128483771066,0.571356309528516,0.570544992952448,0.569579018309668
"World","World","World","World","Estimated male victims",293242.324273577,306085.011654387,319930.677702227,333965.449211598,338376.616756176,336704.898988666,330823.648446038,328742.071456334,331158.987997517,330058.667057495,337958.590868687,347159.234303816,351468.505776528,347903.402501193,338947.13816563,333878.173262306,333342.77317824,327732.95745606,339244.076853885,338339.304197887,342217.709846668,352333.970516837,357134.758974725,354583.645669898,359766.791277859,360735.704085503,363968.175864863,377042.597700892
"World","World","World","World","Estimated female victims",68556.6031357452,71974.9634816805,75611.5141975247,79494.0342097113,80013.7765181917,80352.4530122552,79177.5090031239,78217.9687995499,79255.8841135623,78780.2699517703,80941.5264360308,82833.7003873462,82483.2667936657,81082.305887352,81660.9020723109,78907.7854447045,77585.6522159695,77979.6674173174,77667.8449615997,83529.3216415591,82869.757644316,83473.4859986447,83823.4236102192,83832.3025365187,86118.3496063166,84134.9696301182,86751.1003887766,86778.7610458623
"World","World","World","World","ESTIMATES - VICTIMS BY AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","World","World","World","Number of countries with actual data (age)",,,,,,,,,,,,,,,,39,44,56,55,64,71,77,74,66,69,52,38,9
"World","World","World","World","Number of countries with estimated data (age)",,,,,,,,,,,,,,,,94,94,94,94,94,94,94,94,94,94,94,94,93
"World","World","World","World","Proportion of polulation in countries with estimated data (age)",,,,,,,,,,,,,,,,0.302333735608173,0.301342669658594,0.300365998489771,0.299394418525488,0.298415780106464,0.297421874101598,0.296410059642025,0.295383804433391,0.294347940655609,0.293310880942575,0.292277527713791,0.2912044215681,0.290212793753108
"World","World","World","World","Estimated male victims aged 0 to 14",,,,,,,,,,,,,,,,12901.279569254,12820.8924528178,12419.6269782113,12579.1008309012,12056.6320128634,11600.0073860038,11711.1322443206,11858.6206184969,11656.1871807471,12082.1686683789,12582.4119394421,11876.3729350249,12580.3503120376
"World","World","World","World","Estimated male victims aged 15 to 29",,,,,,,,,,,,,,,,129940.747366803,130532.444838193,128741.198942643,134594.734904062,136297.588624518,138526.162288366,143846.128919949,147341.49281365,146037.536626209,149124.137126798,149668.392733307,152735.026597038,158160.853242218
"World","World","World","World","Estimated male victims aged 30 to 44",,,,,,,,,,,,,,,,103570.505054675,104428.821659854,102160.184503982,105058.627432208,106846.288294652,108720.368120535,111126.251223341,112436.082068671,111253.273915448,112246.236595937,113032.952506314,112364.266983954,117426.835853988
"World","World","World","World","Estimated male victims aged 45 to 59",,,,,,,,,,,,,,,,60881.0767760312,59285.1252545262,58493.615398056,61411.0053985153,58969.6637540971,60389.135719435,62580.953021196,61984.6226336844,61566.4032311571,62066.6844533091,62086.7665226447,64085.4441234145,65224.9217975517
"World","World","World","World","Estimated male victims aged 60 or more",,,,,,,,,,,,,,,,26584.5644955433,26275.4889728488,25918.3316331676,25600.6082881975,24169.131511757,22982.0363323278,23069.5051080318,23513.9408402231,24070.2447163371,24247.564433436,23365.1803837952,22907.0652254308,23649.6364950971
"World","World","World","World","Estimated female victims aged 0 to 14",,,,,,,,,,,,,,,,7543.36553892471,7828.16375744582,7772.1695720432,7998.99268539206,8304.73619369097,8242.42175380266,7893.80938808318,8195.89214889612,8193.85048070422,8847.61106839288,9019.25714127988,8913.1334044126,8960.18963495367
"World","World","World","World","Estimated female victims aged 15 to 29",,,,,,,,,,,,,,,,20889.9996166061,21172.0414909222,21633.3832967895,21122.5505823398,23087.3881296194,23093.0103125462,23709.8505535599,23404.6930178101,23977.6384490613,24554.9626801444,23470.3889370366,24499.5607465887,24617.169220791
"World","World","World","World","Estimated female victims aged 30 to 44",,,,,,,,,,,,,,,,22192.695412442,21269.7994862448,21132.3564106473,21422.2645903753,22551.3290868744,23184.7093342195,22592.9826005161,23214.5560328673,22753.9838713301,23540.5652172859,23347.6195909563,24222.9200813233,24286.6988570424
"World","World","World","World","Estimated female victims aged 45 to 59",,,,,,,,,,,,,,,,15605.6421452389,15032.2640446965,15225.8720837365,14843.399438566,17007.3471184264,16272.1601409808,16833.9193403094,16595.8020272263,16777.3978194305,17061.2639494887,16575.9227779685,17218.023983714,17064.711428365
"World","World","World","World","Estimated female victims aged 60 or more",,,,,,,,,,,,,,,,12676.0827314929,12283.3834366602,12215.8860541009,12280.6376649265,12578.521112948,12077.4561027668,12442.9241161761,12412.4803834194,12129.4319159925,12113.9466910048,11721.7811828769,11897.462172738,11849.9919047103
"World","World","World","World","ESTIMATES - VICTIMS BY MECHANISM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","World","World","World","Number of countries with actual data (mechanism)",,,,,,,,,,,,,,,,50,56,62,67,74,82,85,89,82,84,64,38,8
"World","World","World","World","Number of countries with estimated data (mechanism)",,,,,,,,,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117
"World","World","World","World","Proportion of polulation in countries with estimated data (mechanism)",,,,,,,,,,,,,,,,0.308254650958487,0.307248282657272,0.306265218200448,0.305287625015334,0.304292110185718,0.3032636108558,0.302196762454048,0.301100110319509,0.29998889936373,0.298885585775927,0.297804737707811,0.296733450675755,0.295716188886382
"World","World","World","World","Estimated victims by firearm",,,,,,,,,,,,,,,,165253.023781359,164414.42261032,163205.123896207,170186.101575848,174510.535876723,175593.474116804,182980.126121422,185343.783929123,182512.398963541,186152.767896856,185005.545412013,189812.220184232,194876.900154221
"World","World","World","World","Estimated victims by knife or sharp objects",,,,,,,,,,,,,,,,143148.840791199,142062.267036141,142207.012406428,144602.517076413,149068.71690332,149998.777952972,150332.859372801,164645.722675563,154699.265791399,163458.045220044,160082.224852575,162169.583923252,165782.210946166
"World","World","World","World","Estimated victims by other mechanisms",,,,,,,,,,,,,,,,79718.9316821669,79033.0876723956,75967.8930672873,77614.4566529372,75192.6870480953,76208.8994141681,79654.380245983,66934.1428677162,77172.339220383,71795.6197133394,75187.0053452532,74462.9129071346,77510.4814136711
"World","World","World","World","Estimated victims by unknown mechanisms",,,,,,,,,,,,,,,,24665.1624522859,25418.6480753525,24332.5955034543,24508.8465102863,23096.6860113081,23286.3160070393,22840.0907752761,24034.5331125419,24031.9442310932,24478.7080539362,24595.8981057802,24274.5592390198,25651.7662326967
"Region","Africa","Africa","Africa","Estimates - Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Africa","Africa","Total Population",634567044,651763106,669221342,686916862,704820799,722921961,741220519,759752789,778592236,797836027,817566004,837820928,858622597,880016866,902048601,924757708,948156166,972265961,997144670,1022858654,1049446344,1076933813,1105285268,1134398192,1164129789,1194369908,1226020313.6,1256269000
"Region","Africa","Africa","Africa","Male Population",316254584,324801985,333476930,342270841,351174305,360185526,369306207,378553305,387960427,397571599,407424373,417538290,427925823,438609348,449611039,460951374,472634450,484673120,497104274,509972233,523303472,537114387,551383343,566049627,581028559,596255097,612055310.049707,626157000
"Region","Africa","Africa","Africa","Female Population",318306965,326955630,335738964,344640690,353641111,362731141,371909002,381194318,390626543,400259211,410136508,420277582,430692016,441402959,452433116,463802035,475517443,487588709,500036247,512882212,526138716,539815230,553897788,568344517,583097173,598110732,613960906.647294,627575000
"Region","Africa","Africa","Africa","Males 0 to 14",142949140,146537344,149941150,153183743,156302724,159325198,162771236,166133994,169442777,172725731,176014887,179820424,183608297,187442111,191397680,195518877,200181690,204931374,209796656,214810319,219992703,225546440,231244940,237020429,242751808,248353744,255165624.729577,261276322.348541
"Region","Africa","Africa","Africa","Males 15 to 29",84011038,86455200,89045879,91775558,94635312,97626259,100608761,103728780,106967542,110304464,113726077,116929232,120239415,123617062,127011369,130399119,133453850,136553050,139711071,142945466,146270777,149485028,152778741,156174286,159711537,163420387,167742512.158163,171559980.843444
"Region","Africa","Africa","Africa","Males 30 to 44",47823039,49311828,50889376,52534897,54217154,55911139,57402264,58917656,60474873,62104613,63825977,65486471,67259771,69147595,71152567,73278854,75475760,77805101,80267059,82865684,85597900,88504065,91550171,94706347,97942675,101233918,103828173.860917,106138393.972947
"Region","Africa","Africa","Africa","Males 45 to 59",26576918,27135021,27756818,28442459,29195274,30018540,30757145,31566123,32443657,33386722,34389472,35358726,36397646,37497445,38647255,39837604,41003958,42241529,43537623,44876458,46248922,47594398,49001702,50481432,52055407,53736370,55079903.1820732,56284448.2665532
"Region","Africa","Africa","Africa","Males 60 or more",14894449,15362592,15843707,16334184,16823841,17304390,17766801,18206752,18631578,19050069,19467960,19943437,20420694,20905135,21402168,21916920,22519192,23142066,23791865,24474306,25193170,25984456,26807789,27667133,28567132,29510678,30239096.118977,30897854.5685143
"Region","Africa","Africa","Africa","Females 0 to 14",140041978,143554263,146883010,150051505,153093939,156034694,159416241,162689747,165891262,169062408,172246796,175964287,179674183,183429151,187287220,191284518,195789006,200353235,205014832,209813417,214768574,220088110,225544851,231073311,236554770,241910116,248555833.975388,254306493.878876
"Region","Africa","Africa","Africa","Females 15 to 29",83863677,86363809,89014110,91794325,94678391,97652920,100536184,103550769,106686183,109929050,113263968,116394594,119640202,122966302,126328317,129701036,132769155,135899827,139086027,142318395,145592965,148689540,151825386,155038267,158391328,161925972,166221012.539833,169877440.721273
"Region","Africa","Africa","Africa","Females 30 to 44",48726037,50240952,51837504,53501475,55214185,56963210,58547303,60161654,61812574,63515710,65284627,67007563,68808411,70697161,72691786,74808518,77014103,79349343,81808534,84390667,87097146,90009301,93042760,96173696,99379979,102642940,105275260.456114,107530648.212138
"Region","Africa","Africa","Africa","Females 45 to 59",28142573,28756027,29436124,30181881,30992953,31867254,32647203,33491683,34400835,35375257,36411518,37415152,38496915,39646108,40848901,42093378,43321466,44622404,45985224,47397104,48848360,50295922,51809824,53392505,55053707,56798592,58218715.1349737,59434922.4440357
"Region","Africa","Africa","Africa","Females 60 or more",17532700,18040579,18568216,19111504,19661643,20213063,20762071,21300465,21835689,22376786,22929599,23495986,24072305,24664237,25276892,25914585,26623713,27363900,28141630,28962629,29831671,30732357,31674967,32666738,33717389,34833112,35690084.5409853,36425494.7436772
"Region","Africa","Africa","Africa","ESTIMATES - TOTAL HOMICIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Africa","Africa","Number of countries with actual data (sample)",8,7,7,7,9,6,6,7,7,7,9,11,12,17,22,19,22,25,29,27,27,25,28,17,16,17,14,7
"Region","Africa","Africa","Africa","Number of countries with estimated data (covered)",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
"Region","Africa","Africa","Africa","Proportion of polulation in countries with estimated data",0.821579612319104,0.82085448236464,0.819956242519235,0.818998171572035,0.81812070361448,0.81741076613939,0.816891835127408,0.816517376417291,0.816216543931733,0.815894733968939,0.815489596849724,0.814993984012775,0.814433596836725,0.813822555759971,0.813183108079561,0.812532322250187,0.811866602363054,0.811185331623473,0.81050974478959,0.809865072520567,0.809265250058368,0.808717041369375,0.808207793827213,0.807708574874033,0.807182446389575,0.806605908728236,0.805843884510333,0.805296477108008
"Region","Africa","Africa","Africa","Estimated Homicide Count",93589.6612292113,96290.5353703196,99020.960685124,101586.822418768,105298.400867187,108639.742455861,109363.671199553,110548.772608349,113305.959314027,112271.020156288,112730.289679324,115441.848855517,117677.236877783,117327.438315699,117841.214084956,119719.436399655,123466.974493728,125131.187876219,128164.357432336,130156.153441521,132477.458032001,136814.231302663,140823.55996994,144373.568122062,149328.676372179,152993.35463422,157041.626560245,162727.459379953
"Region","Africa","Africa","Africa","Lower range - Estimated homicide count",16241.6306797096,20127.3913832983,24160.6101849868,28197.0609065414,33221.8873191765,36809.0644827344,38501.7965467031,40821.2249691365,44121.3884102717,44783.7164054264,46587.3773052644,50515.8959844894,54030.067069378,55809.5726329545,58027.6329929095,61218.6434593643,65930.3031160123,69220.5415655932,73835.8465207397,77728.0078594173,82124.1222973069,87859.863791385,93386.6297010396,97366.072451797,102534.386525435,106615.965188942,111301.819246696,110637.993905185
"Region","Africa","Africa","Africa","Upper range - Estimated homicide count",168903.518395628,169830.678791072,170646.2141373,171163.925500792,172526.250941484,174925.683528471,175259.755816123,175624.072040174,177363.223187799,175920.554546695,175540.557832088,176575.936054759,177132.965904491,175465.737829417,174689.255212423,175187.114456312,177159.293268613,177279.806930053,178201.598265263,178177.476326791,178399.565534273,180561.599432659,182164.373973856,184693.327551747,188502.597188498,191166.095461388,193933.870374566,205595.307039004
"Region","Africa","Africa","Africa","ESTIMATES - VICTIMS BY SEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Africa","Africa","Number of countries with actual data (sex)",2,1,1,1,1,1,1,1,1,1,1,0,0,1,4,3,5,5,6,6,6,7,7,7,8,7,5,1
"Region","Africa","Africa","Africa","Number of countries with estimated data (sex)",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"Region","Africa","Africa","Africa","Proportion of polulation in countries with estimated data (sex)",0.36667918417774,0.366281074829664,0.365789552180779,0.36514751620699,0.364285864384658,0.363168963129618,0.361789436646721,0.360190389508396,0.358448556376306,0.356661207779728,0.354896619453859,0.35318093534183,0.351504439848792,0.349854628808898,0.348208192609347,0.34655473020399,0.344889397681774,0.343234425955595,0.341635674590729,0.340148899009071,0.338804797437076,0.337611634634412,0.336539382880837,0.335533182866709,0.334523372462209,0.333462544001067,0.332132481234608,0.331168722622305
"Region","Africa","Africa","Africa","Estimated male victims",79158.9626355922,81446.38353123,83739.1735372129,85900.7031217159,88994.3720943784,91751.3906973109,92200.1015885526,93117.1547848911,95406.6834696149,94376.7990237525,94684.736658692,96919.437137118,98735.4036212067,98496.6552205523,98841.726395707,100510.965715377,103752.282878789,104826.642361744,108398.091563818,107931.727746905,109120.672258734,113789.873182144,117115.473638595,119428.562549585,122435.719904921,125733.927436679,128825.777627288,134674.582270193
"Region","Africa","Africa","Africa","Estimated female victims",14430.6985936191,14844.1518390896,15281.7871479112,15686.1192970519,16304.0287728083,16888.3517585504,17163.5696110001,17431.617823458,17899.2758444123,17894.2211325356,18045.5530206323,18522.4117183991,18941.8332565759,18830.7830951469,18999.4876892486,19208.4706842776,19714.6916149387,20304.5455144755,19766.2658685181,22224.4256946158,23356.7857732664,23024.3581205189,23708.0863313445,24945.0055724779,26892.9564672582,27259.4271975406,28215.848932957,28052.8771097598
"Region","Africa","Africa","Africa","ESTIMATES - VICTIMS BY AGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Africa","Africa","Number of countries with actual data (age)",,,,,,,,,,,,,,,,0,1,0,0,2,1,3,1,1,1,2,0,0
"Region","Africa","Africa","Africa","Number of countries with estimated data (age)",,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6
"Region","Africa","Africa","Africa","Proportion of polulation in countries with estimated data (age)",,,,,,,,,,,,,,,,0.154717092663584,0.153261403775968,0.151802387330518,0.150388209967567,0.149077492186912,0.147902502007287,0.146872847793108,0.145957025458155,0.145095929419464,0.144214576060471,0.143262780528794,0.142007181503196,0.141131397813685
"Region","Africa","Africa","Africa","Estimated male victims aged 0 to 14",,,,,,,,,,,,,,,,7602.5211113606,7568.92236140662,7782.70407081262,7617.80024314547,7372.91640509433,6978.67035591074,7004.64396667695,7041.30173341183,7124.67531192332,7403.2484339652,8017.68171795749,8081.30224528015,8446.42752899207
"Region","Africa","Africa","Africa","Estimated male victims aged 15 to 29",,,,,,,,,,,,,,,,34625.0309550399,35464.7951165115,35876.7663930872,38286.4383427843,39026.5984925028,41244.1923547879,43820.939881466,44955.6602958096,45514.8798784447,47554.3864364727,49136.6604199652,50274.4376590302,52504.8530464128
"Region","Africa","Africa","Africa","Estimated male victims aged 30 to 44",,,,,,,,,,,,,,,,27080.150407448,29439.1230906267,28905.8720041105,28980.7407682689,30212.8472620917,29888.3842484994,31063.2423144762,32774.528899268,33501.2712428475,33813.6901526167,35536.672615354,36051.1445253422,37704.773176781
"Region","Africa","Africa","Africa","Estimated male victims aged 45 to 59",,,,,,,,,,,,,,,,21011.3011529927,20926.38773699,21782.7591107945,23476.3218084432,21773.223831955,22700.9228111314,23852.1331114486,23745.8159204671,24406.7461627864,24730.504581885,24615.4526810781,25506.821203758,26704.8061313729
"Region","Africa","Africa","Africa","Estimated male victims aged 60 or more",,,,,,,,,,,,,,,,10191.9620885358,10353.0545732543,10478.5407829391,10036.7904011757,9546.14175526176,8308.50248840455,8048.91390807589,8598.1667896386,8880.98995358261,8933.89029998141,8427.46000232425,8912.07199387724,9313.72238663455
"Region","Africa","Africa","Africa","Estimated female victims aged 0 to 14",,,,,,,,,,,,,,,,3027.88575351477,3210.13595429062,3349.06857479428,3122.68465839597,3665.58138141638,3799.92512114194,3806.70156601064,3768.43838436785,3905.45966405942,4490.96328705153,4923.32364484296,4892.38767149732,4872.66473984345
"Region","Africa","Africa","Africa","Estimated female victims aged 15 to 29",,,,,,,,,,,,,,,,4950.06841248126,5529.82595454828,5757.93306757043,5368.51161856131,6410.73765050205,6654.37846905979,6966.40273733776,6876.08682335733,7206.00481536587,8011.72299908934,7696.10224475784,8117.22748987664,8067.47760958084
"Region","Africa","Africa","Africa","Estimated female victims aged 30 to 44",,,,,,,,,,,,,,,,5117.69988414242,4572.78716599377,4575.44152336099,4961.49218680278,5204.77756181395,5557.20816610675,5115.28411420554,5676.39807969392,5901.39949125664,6359.87135708134,6822.58834019659,6910.14840661452,6862.37835773331
"Region","Africa","Africa","Africa","Estimated female victims aged 45 to 59",,,,,,,,,,,,,,,,3531.48049212747,3663.98883094479,3809.87416250314,3746.45295929521,4272.15311856137,4675.92448885778,4533.86333577168,4726.98059762222,4996.77810191284,5251.96188849148,5288.15191422558,5487.35718094799,5467.28607099734
"Region","Africa","Africa","Africa","Estimated female victims aged 60 or more",,,,,,,,,,,,,,,,2581.33614201166,2737.95370916119,2812.22818624662,2567.12444546278,2671.175982322,2669.34952810018,2602.10636719331,2660.18244630318,2935.36349988312,2778.4369355445,2529.26105351764,2808.72818402057,2783.07033160482
"Region","Africa","Africa","Africa","ESTIMATES - VICTIMS BY MECHANISM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region","Africa","Africa","Africa","Number of countries with actual data (mechanism)",,,,,,,,,,,,,,,,0,0,0,0,0,2,3,3,2,2,3,1,0
"Region","Africa","Africa","Africa","Number of countries with estimated data (mechanism)",,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7
